source_id,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 3487062064765702272,3487062064765702272,3487062064765702272,179.4787669248143,-27.70980606489131,6.950469207315445,6.578698635101318,7.186298370361328,5.835186958312988,1.35111141204834,98.2979742730708,4537.787,0.73,0.21604459,0.73413,0.6831333801733563,241.3459932051046,0.1033336447579808,0.8161348569452499,0.02575736529502256,0.2034330995444369,0.1356286600767068,0.7186057758684747,0.307739278454308,0.5441163573541297,1.845032178313241,4.5307,-4.78722969064,2.774589341009817,HD_number_match,K,HD 103932,GJ 453,58345,PM*,,K4+V,K4V,10.1731496238367,0,0,0,0,0.0
Gaia DR3 1736838805468812160,1736838805468812160,1736838805468812160,316.3326270326946,7.066791776223249,8.269753558840751,7.816643714904785,8.509196281433105,7.012903690338135,1.496292591094971,66.46255615107758,4300.0,0.69,0.18256173,0.8133548,0.6373991181283988,223.7360182444326,0.1102281566097932,0.817577280561377,0.04697968698473743,0.3484547497476145,0.2473873313462372,0.7179355717454965,0.2828128832493284,0.5804434055035506,1.28235712380358,,-4.66639420167,4.403374521721473,HD_number_match,K,HD 200779,GJ 818,104092,PM*,,K6V,K6V,15.04606590403891,0,0,0,0,0.0
Gaia DR3 3210731015768096000,3210731015767419520,3210731015768096000,82.10736002059835,-3.503099306330114,7.625078404002189,7.242387771606445,7.861436367034912,6.489079475402832,1.37235689163208,77.34986706396188,4440.0,0.7,0.20168027,0.7616906,0.6641555900024295,236.2647827747089,0.1076919604073236,0.8212459000076742,0.03536193202236498,0.2696658281628087,0.186204893660515,0.7319916065007152,0.2998801097597807,0.5670722409356911,1.584025803819568,,-4.95194631482,1.478322263437086,HD_number_match,K,HD 36003,GJ 204,25623,PM*,,K5V,K5V,12.92827044128057,0,0,0,0,0.0
Gaia DR3 4986970575602213504,4986970575602213504,4986970575602213504,11.45302795968327,-41.90951981324176,8.35088099117279,7.917257308959961,8.589539527893066,7.124752998352051,1.464786529541016,63.59380175904286,4440.0,0.7,0.1878649,0.8608553,0.6410043077412808,224.0194181780017,0.1100165799824302,0.8242209128260123,0.04939517671426065,0.3700582007469413,0.2601067411825328,0.7064756813922207,0.2900436153976951,0.5793289142544112,1.097254996552272,,,,Not found,K,HD 4378,GJ 32,,PM*,,K5Ve,K5V,15.72480292637643,0,0,0,0,0.0
Gaia DR3 5914096303621755520,5914096303621755520,5914096303621755520,257.5437749987619,-60.7261529768452,7.356441058626175,7.116920948028564,7.58627986907959,6.475841522216797,1.110438346862793,72.85383430610172,4866.0356,0.7,0.2271543,0.68606955,0.6854016508653373,247.691989787081,0.1081246844133771,0.8376304204225425,0.03158120424278758,0.2446562274919672,0.1662923591501416,0.7420594829785695,0.3341245036025839,0.5693357579159225,2.167672195328044,4.618,-5.12409896453,0.7655890599707027,HD_number_match,K,HD 154577,GJ 656,83990,PM*,GAIA,K2.5Vk:,K2.5V,13.72611351927495,0,0,0,0,0.0
Gaia DR3 5965924361179144832,5965924361179144832,5965924361179144832,257.0291897550524,-41.72534693322215,8.272146168193817,7.926979541778564,8.507072448730469,7.192235946655273,1.314836502075195,48.25402769309368,4600.0,0.73,0.204173794466953,0.713,0.6614310409124528,229.936910321767,0.1078444135020594,0.8381222391534302,0.04753734579133112,0.369440617313761,0.2503204097340422,0.6938444891297019,0.3020079382929376,0.5678831522033757,2.013975905790975,,-4.83868887726,2.279168656314401,HIP_number_match,K,HD 154590,GJ 9585,83846,SB*,,K4V,K4V,20.72365868317194,0,0,0,0,0.0
Gaia DR3 4503794795019024000,4503794795019024000,4503794795019024000,282.1223504055496,10.74351043336211,7.943171486196518,7.606561183929443,8.17754077911377,6.885082244873047,1.292458534240723,59.2344538576215,4542.2188,0.76398087,0.21502253,0.6622895,0.6813212002773181,234.9794457166584,0.1039095939894408,0.8384532195259069,0.0406978110808452,0.328393263973867,0.2143025948545906,0.6846827616639324,0.3009988367899708,0.5471570836571313,2.629897818050245,4.5353,-4.59042156897,5.88708349725504,HD_number_match,K,HD 174080,GJ 727,92283,PM*,GAIA,K0,K0,16.88206668375205,0,0,0,0,0.0
Gaia DR3 6651058467639413248,6651058467639413248,6651058467639413248,278.2702481361492,-54.26382140637475,8.458688523216248,8.086159706115723,8.69458293914795,7.340849876403809,1.353733062744141,52.29026057826837,4434.9478,0.713383,0.1939874,0.7096595,0.6515729427749556,227.4188437258571,0.1110025126290499,0.8464117887095113,0.05192258316572086,0.3959179432143303,0.2734135740847843,0.7048288434806625,0.2917604693889315,0.5845162520792428,1.99605586993501,4.5416,-4.7386396711,3.340858994028006,HIP_number_match,K,HD 170573,,90945,PM*,GAIA,K4.5Vk:,K4.5V,19.12402020837502,0,0,0,0,0.0
Gaia DR3 3052753116376444800,3052753116376444800,3052753116376444800,105.6779216810312,-6.800619953537471,8.34030846391201,7.993809700012207,8.575010299682617,7.269191265106201,1.305819034576416,52.31876162072341,4507.9497,0.7417565,0.20528483,0.7047331,0.6671805689516559,231.0881450340653,0.1080812084823477,0.8503712374727976,0.04874389338294407,0.3835116716155715,0.2566731386623086,0.6916580826202479,0.2971665054968309,0.569128583833776,2.11927517458269,4.5472,-4.782941605,2.820440457243908,HD_number_match,K,HD 52919,GJ 1094,33955,PM*,GAIA,K4V,K4V,19.11360225322881,0,0,0,0,0.0
Gaia DR3 5170039467784804096,5170039502144332800,5170039467784804096,51.24784690007301,-5.367170566006298,7.851042098021507,7.465278625488281,8.087433815002441,6.713720798492432,1.37371301651001,65.26068409308351,4505.107,0.73,0.2189551,0.7494483,0.6891621382699855,244.5479054530345,0.1082747920591284,0.8589254847791311,0.03890348096214297,0.3086146886964831,0.2048496692339088,0.726049175640444,0.3084076826668247,0.570130353149276,1.734194576495711,4.546,-4.61740374381,5.310186634409506,HD_number_match,K,HD 21197,GJ 141.0,15919,PM*,,K4V,K4V,15.323161469985,0,0,0,0,0.0
