,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
910,83LeoB,Gaia DR3 3812355294262255104,HD99492,HIP55848,GJ429B,TIC363549734,-, 83 Leo B,K3,,,,,,,,,,,,,,,,,,,0,
911,83LeoA,Gaia DR3 3812355328621651328,HD99491,HIP55846,GJ429A,TIC363549733,-, 83 Leo A,G9IV,45.0,6.49,5438.0,4.4,2.68,724.0,4.5,125.0,4.105,,,,,,,,,,0,
912,HD85380,Gaia DR3 3820160280630444672,HD85380,HIP48351,-,TIC56555398,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
913,HD88072,Gaia DR3 3835743693290897152,HD88072,HIP49756,-,TIC344988456,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
914,31HyaB,Gaia DR3 3837746380705638656,HD81997B,-,GJ348B,TIC77549396,-, 31 Hya B,-,,,,,,,,,,,,,,,,,,,0,
915,HD82267,Gaia DR3 3850860191466416768,HD82267,HIP46690,-,TIC383217678,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
916,HD82106,Gaia DR3 3852570413083923072,HD82106,HIP46580,GJ349,TIC383188202,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
917,HD90905,Gaia DR3 3855524182352238336,HD90905,HIP51386,-,TIC277895096,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
918,HD93081,Gaia DR3 3857486741888336768,HD93081,HIP52574,-,TIC374364247,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
919,HD94765,Gaia DR3 3865002247461685248,HD94765,HIP53486,GJ3633,TIC365006720,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
920,HD89307,Gaia DR3 3886688327612984704,HD89307,HIP50473,-,TIC61125572,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
921,HD89906A,Gaia DR3 3887696579776144512,HD89906A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
922,HD101690,Gaia DR3 3897069641524877184,HD101690,HIP57083,-,TIC281909755,-,-,G0,,,,,,,,,,,,,,,,,,,0,
923,17Vir,Gaia DR3 3900151160301345152,HD107705,HIP60353,-,TIC377227654,-, 17 Vir,F8V,,,,,,,,,,,,,,,,,,,0,
924,HD106423,Gaia DR3 3904895793493364608,HD106423,HIP59690,-,TIC397583143,-,-,G0,,,,,,,,,,,,,,,,,,,0,
925,HD106252,Gaia DR3 3905603054348141440,HD106252,HIP59610,-,TIC397558558,-,-,G0,,,,,,,,,,,,,,,,,,,0,
926,HD106210,Gaia DR3 3906535027891367040,HD106210,HIP59589,-,TIC397558463,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
927,HD101242,Gaia DR3 3909362834358280576,HD101242,HIP56832,-,TIC388907349,-,-,G5,,,,,,,,,,,,,,,,,,,0,
928,HD101676,Gaia DR3 3916887136024599296,HD101676,HIP57080,-,TIC82546579,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
929,HD102988,Gaia DR3 3919566955099316352,HD102988,HIP57821,-,TIC291073912,-,-,-,,,,,,,,,,,,,,,,,,,0,
930,HD111398,Gaia DR3 3928040444539772800,HD111398,HIP62536,-,TIC402133995,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
931,HD115404,Gaia DR3 3936909723803146368,HD115404,HIP64797,GJ505A,TIC373765355,-,-,K2V,,,,,,,,,,,,,,,,,,,0,
932,HD114762A,Gaia DR3 3937211745905473024,HD114762A,HIP64426,-,TIC138172859,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
933,HD112735,Gaia DR3 3944391934790362496,HD112735,HIP63330,-,TIC149508202,-,-,G0,,,,,,,,,,,,,,,,,,,0,
934,HD107146,Gaia DR3 3946438125929224320,HD107146,HIP60074,-,TIC72408098,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
935,HD112196,Gaia DR3 3954927249048246272,HD112196,HIP63008,-,TIC198285529,-,-,-,,,,,,,,,,,,,,,,,,,0,
936,HD110789,Gaia DR3 3955472984773776256,HD110789,HIP62162,-,TIC263639099,-,-,-,,,,,,,,,,,,,,,,,,,0,
937,HD111066,Gaia DR3 3956336822955595776,HD111066,HIP62349,-,TIC199459496,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
938,HD111395,Gaia DR3 3957887649746830976,HD111395,HIP62523,GJ486.1,TIC160010717,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
939,HD108956,Gaia DR3 3959079382912168320,HD108956,HIP61075,-,TIC446169305,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
940,HD98388,Gaia DR3 3965063921622777856,HD98388,HIP55262,-,TIC239208476,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
941,88Leo,Gaia DR3 3966121308211393920,HD100180,HIP56242,GJ3669,TIC219030951,-, 88 Leo,F9.5V,,,,,,,,,,,,,,,,,,,0,
942,HD96574,Gaia DR3 3968325657226210048,HD96574,HIP54383,-,TIC77072856,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
943,HD100339,Gaia DR3 3974220242141965056,HD100339,HIP56321,-,TIC462539054,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
944,HD99505,Gaia DR3 3980413791141148672,HD99505,HIP55868,-,TIC3902250,-,-,G5,,,,,,,,,,,,,,,,,,,0,
945,51LMi,Gaia DR3 3996424359773549568,HD96094,HIP54196,-,TIC393790653,-, 51 LMi,G0,,,,,,,,,,,,,,,,,,,0,
946,HD102357,Gaia DR3 4004194097346057728,HD102357,HIP57488,-,TIC98350165,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
947,HD108944,Gaia DR3 4012531487861716352,HD108944,HIP61072,-,TIC99303738,-,-,-,,,,,,,,,,,,,,,,,,,0,
948,HD100067,Gaia DR3 4025216411776679808,HD100067,HIP56186,-,TIC144380039,-,-,F9,,,,,,,,,,,,,,,,,,,0,
949,61UMa,Gaia DR3 4025850731201819392,HD101501,HIP56997,GJ434,TIC101641846,-, 61 UMa,G8V,,,,,,,,,,,,,,,,,,,0,
950,HD104956,Gaia DR3 4027326928641456256,HD104956,HIP58940,-,TIC359030908,-,-,F8,,,,,,,,,,,,,,,,,,,0,
951,HD103095,Gaia DR3 4034171629042489088,HD103095,HIP57939,GJ451,TIC309599261,-,-,K1V,,,,,,,,,,,,,,,,,,,0,
952,HD103799,Gaia DR3 4035051032186364672,HD103799,HIP58287,-,TIC309620805,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
953,HD173885,Gaia DR3 4101951676226387584,HD173885,HIP92262,-,TIC427836578,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
954,HD153631,Gaia DR3 4140792817780067200,HD153631,HIP83276,GJ650,TIC434710990,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
955,HD155515,Gaia DR3 4143169446523028608,HD155515,HIP84182,-,TIC146000751,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
956,HD162739,Gaia DR3 4148904396147803136,HD162739A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
957,HD170715,Gaia DR3 4153080581800739968,HD170715,-,-,TIC432876084,-,-,-,,,,,,,,,,,,,,,,,,,0,
958,HD168443,Gaia DR3 4157584215800708736,HD168443,HIP89844,GJ4052,TIC16465196,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
959,HD158719A,Gaia DR3 4163011675739017472,HD158719A,-,-,TIC3205453,-,-,-,,,,,,,,,,,,,,,,,,,0,
960,HD161555,Gaia DR3 4165670677112908032,HD161555,HIP86985,-,TIC297814619,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
961,HD165360A,Gaia DR3 4170909850027869696,HD165360A,HIP88656,-,TIC204712890,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
962,HD163102,Gaia DR3 4178216448382162432,HD163102,HIP87678,-,TIC62204855,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
963,HD183870,Gaia DR3 4187837450005193088,HD183870,HIP96085,GJ1240,TIC100711809,-,-,K2V,,,,,,,,,,,,,,,,,,,0,
964,HD186159,Gaia DR3 4194767774869252608,HD186159,HIP97022,-,TIC242901562,-,-,-,,,,,,,,,,,,,,,,,,,0,
965,HD185588,Gaia DR3 4195035162353549184,HD185588,HIP96754,-,TIC242792286,-,-,-,,,,,,,,,,,,,,,,,,,0,
966,HD185720,Gaia DR3 4195088763545903616,HD185720,HIP96813,-,TIC242826461,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
967,HD177758,Gaia DR3 4198685678421509376,HD177758,HIP93827,-,TIC204816649,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
968,HD180409,Gaia DR3 4199928848101663104,HD180409,HIP94757,-,TIC205253565,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
969,HD183658,Gaia DR3 4208110932591708672,HD183658,HIP95962,GJ9659,TIC100374998,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
970,HD193017,Gaia DR3 4219087666404378624,HD193017,HIP100072,-,TIC244084195,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
971,HD197623,Gaia DR3 4228023259961831296,HD197623,HIP102393,-,TIC466892969,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
972,HD194766,Gaia DR3 4228891221313732864,HD194766,HIP100895,-,TIC212681424,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
973,HD194765,Gaia DR3 4228891667990334976,HD194765,HIP100896,-,TIC212681450,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
974,HD195005,Gaia DR3 4229021960117124992,HD195005,HIP101022,-,TIC212714426,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
975,HD196218,Gaia DR3 4233114892151395712,HD196218,HIP101620,-,TIC419594849,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
976,HD190412,Gaia DR3 4237555510387302400,HD190412,HIP98878,-,TIC345571990,-,-,G6/8V,,,,,,,,,,,,,,,,,,,0,
977,HD185785,Gaia DR3 4237920204651836800,HD185785,HIP96834,-,TIC251340304,-,-,F7/8V,,,,,,,,,,,,,,,,,,,0,
978,HD184768,Gaia DR3 4239437599419697536,HD184768,HIP96402,-,TIC249736205,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
979,HD186104,Gaia DR3 4240035046551668736,HD186104,HIP96948,-,TIC95320727,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
980,HD187003,Gaia DR3 4240508901699614976,HD187003,HIP97384,-,TIC136744612,-,-,-,,,,,,,,,,,,,,,,,,,0,
981,HD195104,Gaia DR3 4245501440394297088,HD195104,HIP101059,-,TIC375520221,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
982,HD194154,Gaia DR3 4246848135980936576,HD194154,HIP100581,-,TIC374603271,-,-,-,,,,,,,,,,,,,,,,,,,0,
983,HD190007,Gaia DR3 4247023886053586304,HD190007,HIP98698,GJ775,TIC345217789,-,-,K5V,,,,,,,,,,,,,,,,,,,0,
984,HD175518,Gaia DR3 4254091856092504192,HD175518,HIP92918,-,TIC57559390,-,-,G6IV,,,,,,,,,,,,,,,,,,,0,
985,HD164651,Gaia DR3 4275410252622589312,HD164651,HIP88324,-,TIC104968126,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
986,HD174719,Gaia DR3 4279461609366875520,HD174719,HIP92569,-,TIC226327470,-,-,G5/6V,,,,,,,,,,,,,,,,,,,0,
987,HD175726,Gaia DR3 4281201414717499520,HD175726,HIP92984,-,TIC227409000,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
988,HD172675,Gaia DR3 4283652432293739392,HD172675,HIP91645,-,TIC109132460,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
989,HD186704,Gaia DR3 4290328769993455744,HD186704,HIP97255,-,TIC398523562,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
990,HD189509,Gaia DR3 4297465218928881792,HD189509,HIP98442,-,TIC318384880,-,-,-,,,,,,,,,,,,,,,,,,,0,
991,HD187897,Gaia DR3 4298143102210310272,HD187897,HIP97779,-,TIC281446108,-,-,G5,,,,,,,,,,,,,,,,,,,0,
992,OAql,Gaia DR3 4303294039306246656,HD187691,HIP97675,GJ768.1A,TIC408842743,-,O Aql,F8V,,,,,,,,,,,,,,,,,,,0,
993,HD187923,Gaia DR3 4303735493232528640,HD187923,HIP97767,GJ4126,TIC281360699,-,-,G0V,39.0,6.16,5774.0,4.23,1.78,944.0,2.79,77.0,4.128,984.0,,12.0,51.0,,1.22,1.54,,1.05,63,1.528
994,HD183341,Gaia DR3 4314798744888764544,HD183341,HIP95772,-,TIC134352603,-,-,G5,,,,,,,,,,,,,,,,,,,0,
995,bAql,Gaia DR3 4315804351350378496,HD182572,HIP95447,GJ759,TIC359981217,-,b Aql,G7IV,33.0,5.17,5587.0,4.15,2.31,618.0,3.91,83.0,4.187,1012.0,,16.0,59.0,,2.1,1.98,,2.61,75,1.793
996,HD181144,Gaia DR3 4321170827084026368,HD181144,HIP94905,-,TIC401808730,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
997,HD184962,Gaia DR3 4321775627212956672,HD184962,HIP96434,-,TIC94908697,-,-,F8,,,,,,,,,,,,,,,,,,,0,
998,HD148729,Gaia DR3 4332338875891869696,HD148729,HIP80831,-,TIC164063794,-,-,-,,,,,,,,,,,,,,,,,,,0,
999,HD144585,Gaia DR3 4341501106288171008,HD144585,HIP78955,-,TIC410994457,-,-,G2V,86.0,6.32,5807.0,4.23,3.68,996.0,6.49,35.0,3.9,,,,,,,,,,0,
1000,HD144087,Gaia DR3 4343064577465522816,HD144087,HIP78738,GJ9541A,TIC49777149,-,-,K1(V,,,,,,,,,,,,,,,,,,,0,
1001,ksiScoC,Gaia DR3 4343066192373826176,-,-,GJ9540C,-,-,ksi Sco C,-,,,,,,,,,,,,,,,,,,,0,
1002,18Sco,Gaia DR3 4345775217221821312,HD146233,HIP79672,GJ616,TIC135656809,-, 18 Sco,G2V,32.0,5.5,5785.0,4.41,1.53,538.0,3.47,161.0,4.196,885.0,,16.0,23.0,,1.65,2.15,,4.82,39,1.991
1003,HD149200,Gaia DR3 4354366423123745280,HD149200,HIP81062,-,TIC57911824,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
1004,HD150433,Gaia DR3 4354950641755249024,HD150433,HIP81681,GJ634.1,TIC58360410,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
1005,HD147512,Gaia DR3 4356054757585316992,HD147512,HIP80218,-,TIC71960105,-,-,G8/K0V,,,,,,,,,,,,,,,,,,,0,
1006,12Oph,Gaia DR3 4358031335898505472,HD149661,HIP81300,GJ631,TIC58092025,-, 12 Oph,K1V,,,,,,,,,,,,,,,,,,,0,
1007,HD154363,Gaia DR3 4364527594192166400,HD154363,HIP83591,GJ653,TIC142456308,-,-,K4/5V,,,,,,,,,,,,,,,,,,,0,
1008,HD157347,Gaia DR3 4367026303085396352,HD157347,HIP85042,-,TIC59476871,-,-,G3V,48.0,6.3,5712.0,4.42,1.47,708.0,3.56,87.0,4.084,,,,,,,,,,0,
1009,HD159307,Gaia DR3 4369662485295118336,HD159307,HIP85963,-,TIC164649009,-,-,-,,,,,,,,,,,,,,,,,,,0,
1010,HD157881,Gaia DR3 4375233191015944192,HD157881,HIP85295,GJ673,TIC327860248,-,-,K7V,,,,,,,,,,,,,,,,,,,0,
1011,HD152391,Gaia DR3 4381250547575102208,HD152391,HIP82588,GJ641,TIC326927305,-,-,G8.5V,,,,,,,,,,,,,,,,,,,0,
1012,HD154417,Gaia DR3 4381502851133968128,HD154417,HIP83601,GJ654.1,TIC297236135,-,-,F8.5IV,,,,,,,,,,,,,,,,,,,0,
1013,HD149806A,Gaia DR3 4383374219923745024,HD149806A,HIP81375,-,TIC281738302,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
1014,HD157089,Gaia DR3 4387079367952007168,HD157089,HIP84905,-,TIC327307686,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1015,HD154931,Gaia DR3 4391700168647193984,HD154931,HIP83863,-,TIC297503736,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
1016,HD155423,Gaia DR3 4391793627134797952,HD155423,HIP84082,-,TIC361705042,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1017,HD142197,Gaia DR3 4399875827873768192,HD142197,HIP77816,-,TIC188334018,-,-,-,,,,,,,,,,,,,,,,,,,0,
1018,HD138763,Gaia DR3 4400452830957830656,HD138763,HIP76233,-,TIC20997718,-,-,F9IV,,,,,,,,,,,,,,,,,,,0,
1019,HD146433,Gaia DR3 4407056807034649472,HD146433,HIP79730,-,TIC74094052,-,-,-,,,,,,,,,,,,,,,,,,,0,
1020,HD142661,Gaia DR3 4409032079673958528,HD142661A,-,-,TIC188374410,-,-,F8.5V,,,,,,,,,,,,,,,,,,,0,
1021,HD141103,Gaia DR3 4410452820495105024,HD141103,HIP77335,-,TIC187411636,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
1022,HD136118,Gaia DR3 4415515934099120768,HD136118,HIP74948,-,TIC38991680,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1023,HD139590,Gaia DR3 4416468248608733440,HD139590,HIP76635,-,TIC46263737,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
1024,HD135204,Gaia DR3 4418203587193988480,HD135204,HIP74537,GJ580,TIC38838329,-,-,G9V,,,,,,,,,,,,,,,,,,,0,
1025,HD135599,Gaia DR3 4419140645978987904,HD135599,HIP74702,-,TIC461272840,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
1026,HD141272,Gaia DR3 4422809716282811776,HD141272,HIP77408,GJ3917,TIC272595871,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
1027,23Ser,Gaia DR3 4423865487962417024,HD140538,HIP77052,GJ596.1,TIC459427073,-, 23 Ser,G2.5V,,,,,,,,,,,,,,,,,,,0,
1028,HD140324,Gaia DR3 4424734377026016896,HD140324,HIP76963,-,TIC459422799,-,-,G0IV,,,,,,,,,,,,,,,,,,,0,
1029,27Ser,Gaia DR3 4430238051199001216,HD141004,HIP77257,GJ598,TIC296740796,-, 27 Ser,G0V,,,,,,,,,,,,,,,,,,,0,
1030,HD149652,Gaia DR3 4432109042032654848,HD149652,HIP81279,-,TIC281690605,-,-,F5/6V,,,,,,,,,,,,,,,,,,,0,
1031,HD148816,Gaia DR3 4433711099194059904,HD148816,HIP80837,-,TIC281371481,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1032,HD147062,Gaia DR3 4437848836328249088,HD147062,HIP79975,-,TIC326861224,-,-,G0,,,,,,,,,,,,,,,,,,,0,
1033,HD153627,Gaia DR3 4444857157801998080,HD153627,HIP83204,-,TIC291505147,-,-,F8,,,,,,,,,,,,,,,,,,,0,
1034,HD145229,Gaia DR3 4456798781792997888,HD145229,HIP79165,-,TIC291067698,-,-,G0,,,,,,,,,,,,,,,,,,,0,
1035,49SerB,Gaia DR3 4464207428577214464,HD145958B,-,GJ615.1B,TIC119985831,-, 49 Ser B,G9V,44.0,7.5,5343.0,4.46,5.34,1634.0,3.1,77.0,4.114,,,,,,,,,,0,
1036,49SerA,Gaia DR3 4464207428579939840,HD145958A,-,GJ615.1A,TIC119985828,-, 49 Ser A,G9V,87.0,7.43,5414.0,4.48,5.19,1564.0,5.2,84.0,3.9,,,,,,,,,,0,
1037,HD148653A,Gaia DR3 4467355154275146112,HD148653A,-,GJ627A,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
1038,70OphB,Gaia DR3 4468557611977674496,HD165341B,-,GJ702B,TIC1674663308,-, 70 Oph B,K4V,,,,,,,,,,,,,,,,,,,0,
1039,70OphA,Gaia DR3 4468557611984384512,HD165341A,-,GJ702A,TIC1674663309,-, 70 Oph A,K0V,,,,,,,,,,,,,,,,,,,0,
1040,HD165401,Gaia DR3 4471087175915086080,HD165401,HIP88622,GJ702.2,TIC399244384,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1041,HD165670,Gaia DR3 4482248936925366400,HD165670,HIP88728,-,TIC391368040,-,-,-,,,,,,,,,,,,,,,,,,,0,
1042,HD159909,Gaia DR3 4492471268326460416,HD159909,HIP86193,-,TIC291726554,-,-,G5,,,,,,,,,,,,,,,,,,,0,
1043,HD164043,Gaia DR3 4501418784715701248,HD164043,-,-,TIC5262805,-,-,-,,,,,,,,,,,,,,,,,,,0,
1044,HD177082,Gaia DR3 4506650604692623488,HD177082,HIP93509,-,TIC354914170,-,-,-,,,,,,,,,,,,,,,,,,,0,
1045,HD174457,Gaia DR3 4507523307652284288,HD174457,HIP92418,-,TIC235784135,-,-,F8,,,,,,,,,,,,,,,,,,,0,
1046,HD171067,Gaia DR3 4508601275714721152,HD171067,HIP90864,GJ1229,TIC50226706,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
1047,HD171746A,Gaia DR3 4511848202261111424,HD171746A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
1048,HD171746B,Gaia DR3 4511848202267498624,HD171746B,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
1049,HD178428,Gaia DR3 4513165073646443008,HD178428,HIP93966,GJ746,TIC394647304,-,-,-,,,,,,,,,,,,,,,,,,,0,
1050,HD176441,Gaia DR3 4513821963108970368,HD176441,HIP93252,-,TIC330503485,-,-,F5,,,,,,,,,,,,,,,,,,,0,
1051,HD177305,Gaia DR3 4513971290539167616,HD177305,HIP93566,-,TIC355720666,-,-,G0,,,,,,,,,,,,,,,,,,,0,
1052,HD177459,Gaia DR3 4514202217999314560,HD177459,HIP93645,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
1053,HD180684,Gaia DR3 4515383166527921152,HD180684,HIP94751,-,TIC354065674,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1054,HD171488,Gaia DR3 4524317420039164544,HD171488,HIP91043,-,TIC471000657,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1055,HD174160,Gaia DR3 4532560355640612608,HD174160,HIP92270,-,TIC348503219,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1056,HD172085,Gaia DR3 4535986674382296704,HD172085,HIP91283,-,TIC322710502,-,-,F8,,,,,,,,,,,,,,,,,,,0,
1057,HD159063,Gaia DR3 4549900100674763264,HD159063,HIP85799,-,TIC400231203,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
1058,HD161198,Gaia DR3 4556066746008265344,HD161198,HIP86722,GJ692.1,TIC363766517,-,-,G9V,,,,,,,,,,,,,,,,,,,0,
1059,HD152446,Gaia DR3 4559467329305126912,HD152446,HIP82568,-,TIC351491907,-,-,F8IV,,,,,,,,,,,,,,,,,,,0,
1060,HD150933,Gaia DR3 4564058546264232192,HD150933,HIP81880,-,TIC347598989,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1061,HD157466,Gaia DR3 4570293086432167168,HD157466,HIP85007,-,TIC286377115,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1062,HD158332,Gaia DR3 4571079649562719488,HD158332,HIP85436,-,TIC359391026,-,-,K1IV,,,,,,,,,,,,,,,,,,,0,
1063,HD166301,Gaia DR3 4579178927092945152,HD166301,HIP88913,-,TIC332695739,-,-,G0,,,,,,,,,,,,,,,,,,,0,
1064,HD164922,Gaia DR3 4582680493669880704,HD164922,HIP88348,GJ700.2,TIC159019691,-,-,G9V,47.0,6.99,5341.0,4.39,2.38,1000.0,3.4,158.0,4.085,,,,,,,,,,0,
1065,HD164595,Gaia DR3 4584639307993378432,HD164595,HIP88194,-,TIC158917706,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1066,HD168874,Gaia DR3 4586000675189058304,HD168874,HIP89912,-,TIC423193084,-,-,G2IV,,,,,,,,,,,,,,,,,,,0,
1067,HD167588,Gaia DR3 4589819416510147200,HD167588,HIP89408,-,TIC84667204,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1068,HD166181,Gaia DR3 4590455518346609792,HD166181,HIP88848,-,TIC320959269,-,-,-,,,,,,,,,,,,,,,,,,,0,
1069,HD166435,Gaia DR3 4590489981163831296,HD166435,HIP88945,-,TIC180762527,-,-,G1IV,,,,,,,,,,,,,,,,,,,0,
1070,HD165281,Gaia DR3 4590693700052296576,HD165281,HIP88471,-,TIC258343679,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
1071,bHerA,Gaia DR3 4590758227641991424,HD165908A,HIP88745,GJ704,TIC22516402,-,b Her A,-,,,,,,,,,,,,,,,,,,,0,
1072,HD166620,Gaia DR3 4610177733290768896,HD166620,HIP88972,GJ706,TIC75946144,-,-,K2V,53.0,6.38,4970.0,4.51,0.71,536.0,3.4,67.0,4.04,1217.0,12.0,22.0,58.0,0.62,0.82,0.9,0.78,1.07,92,0.763
1073,HD21064,Gaia DR3 5107056177570786048,HD21064,HIP15784,-,TIC402135969,-,-,-,,,,,,,,,,,,,,,,,,,0,
1074,HD19467,Gaia DR3 5155981730587168384,HD19467,HIP14501,GJ3200,TIC441501782,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
1075,HD17925,Gaia DR3 5160075762132996992,HD17925,HIP13402,GJ117,TIC30016911,-,-,K1V,,,,,,,,,,,,,,,,,,,0,
1076,HD19063,Gaia DR3 5160720453904340736,HD19063,HIP14235,-,TIC141333291,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
1077,18Eri,Gaia DR3 5164707970261890560,HD22049,HIP16537,GJ144,TIC118572803,-, 18 Eri,K2V,,,,,,,,,,,,,,,,,,,0,
1078,HD21197,Gaia DR3 5170039467784804096,HD21197,HIP15919,GJ141,TIC279182339,-,-,K4V,,,,,,,,,,,,,,,,,,,0,
1079,HD16673,Gaia DR3 5173902189571919872,HD16673,HIP12444,GJ3175,TIC4748040,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1080,HD14044,Gaia DR3 5176115025442071936,HD14044,HIP10584,-,TIC1031383,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1081,HD18894,Gaia DR3 5180879930879739392,HD18894,HIP14124,-,TIC141327580,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
1082,HD18975A,Gaia DR3 5186859453068675456,HD18975A,HIP14194,-,TIC439909836,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1083,HD85883,Gaia DR3 5687882227258685312,HD85883,HIP48592,-,TIC348901198,-,-,-,,,,,,,,,,,,,,,,,,,0,
1084,HD82943,Gaia DR3 5691782130578684544,HD82943,HIP47007,-,TIC405485269,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
1085,18Pup,Gaia DR3 5725122999630404096,HD68146,HIP40035,GJ297.2A,TIC422142487,-, 18 Pup,F6.5V,,,,,,,,,,,,,,,,,,,0,
1086,HD67551,Gaia DR3 5725940142928541184,HD67551,HIP39804,-,TIC421905643,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
1087,HD69830,Gaia DR3 5726982995343100928,HD69830,HIP40693,GJ302,TIC307624961,-,-,G8V,61.0,5.95,5387.0,4.48,1.42,466.0,5.7,268.0,4.009,,,,,,,,,,0,
1088,HD82558,Gaia DR3 5739942011185493888,HD82558,HIP46816,GJ355,TIC46907042,-,-,K1V,,,,,,,,,,,,,,,,,,,0,
1089,HD78612,Gaia DR3 5742430270422799872,HD78612,HIP44896,GJ3535,TIC20066082,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
1090,HD73400,Gaia DR3 5753456417840610048,HD73400,HIP42343,-,TIC51444663,-,-,-,,,,,,,,,,,,,,,,,,,0,
1091,HD73350,Gaia DR3 5755064487956174720,HD73350,HIP42333,GJ9273,TIC51443167,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
