,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
629,HD4628,Gaia DR3 2552925644460225152,HD4628,HIP3765,GJ33,TIC257393898,-,-,K2.5V,12.0,5.74,4937.0,4.54,0.64,352.0,1.72,37.0,4.44,1021.0,,35.0,69.0,,1.21,1.36,,3.28,104,1.307
630,HD8648,Gaia DR3 2559181861327324928,HD8648,HIP6653,-,TIC399732990,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
631,HD12414,Gaia DR3 2569398939984509312,HD12414,HIP9473,-,TIC336959732,-,-,F2,,,,,,,,,,,,,,,,,,,0,
632,HD11592,Gaia DR3 2574020152996148096,HD11592,HIP8859,-,TIC347440764,-,-,F6,,,,,,,,,,,,,,,,,,,0,
633,HD8331,Gaia DR3 2579398139245536768,HD8331,HIP6442,-,TIC365062665,-,-,-,,,,,,,,,,,,,,,,,,,0,
634,HD7047,Gaia DR3 2579772969631487360,HD7047,HIP5534,-,TIC257883443,-,-,G0,,,,,,,,,,,,,,,,,,,0,
635,HD7193,Gaia DR3 2583819069342416384,HD7193,HIP5631,-,TIC408261976,-,-,F5,,,,,,,,,,,,,,,,,,,0,
636,HD9986,Gaia DR3 2585856120791459584,HD9986,HIP7585,-,TIC346923890,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
637,HD211380,Gaia DR3 2599883685842959232,HD211380,HIP110014,-,TIC335870780,-,-,-,,,,,,,,,,,,,,,,,,,0,
638,HD216402,Gaia DR3 2605300640331419904,HD216402,HIP112974,-,TIC36690359,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
639,HD210277,Gaia DR3 2619706544757416192,HD210277,HIP109378,GJ848.4,TIC50227884,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
640,HD210752,Gaia DR3 2619938606134863872,HD210752,HIP109646,-,TIC38202481,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
641,HD209779,Gaia DR3 2621051110039687936,HD209779,HIP109110,-,TIC404742107,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
642,HD213575,Gaia DR3 2622929144618856704,HD213575,HIP111274,-,TIC250975235,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
643,HD215812A,Gaia DR3 2624387200116495872,HD215812A,-,-,-,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
644,HD215812B,Gaia DR3 2624387200116746624,HD215812B,-,-,-,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
645,HD214810,Gaia DR3 2625365215709552512,HD214810,HIP111965,-,TIC250319128,-,-,-,,,,,,,,,,,,,,,,,,,0,
646,HD219175,Gaia DR3 2630189151177742336,HD219175,HIP114702,-,TIC4581907,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
647,HD220476,Gaia DR3 2630815941525069696,HD220476,HIP115527,-,TIC49673617,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
648,HD218730,Gaia DR3 2631283474485026176,HD218730,HIP114424,-,TIC404243869,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
649,HD221356,Gaia DR3 2633449134434620288,HD221356,HIP116106,GJ9829,TIC250080475,-,-,F7V,62.0,6.5,5987.0,4.31,3.12,1154.0,4.11,30.0,4.008,,,,,,,,,,0,
650,HD217877,Gaia DR3 2635543704085589504,HD217877,HIP113896,-,TIC248052037,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
651,HD217580,Gaia DR3 2636589099125426816,HD217580,HIP113718,GJ886,TIC278870306,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
652,12Psc,Gaia DR3 2643862402903084544,HD221146,HIP115951,-,TIC301329955,-, 12 Psc,G1V,,,,,,,,,,,,,,,,,,,0,
653,HD217107,Gaia DR3 2648914040357320576,HD217107,HIP113421,-,TIC38271828,-,-,G8IV,27.0,6.18,5575.0,4.25,6.21,844.0,4.35,123.0,4.248,1032.0,,22.0,33.0,,4.66,4.54,,,55,4.422
654,HD218059,Gaia DR3 2662112268699428352,HD218059,HIP113980,-,TIC310919689,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
655,HD209875,Gaia DR3 2682402931156166016,HD209875,HIP109144,-,TIC418913438,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
656,HD208776,Gaia DR3 2695668504585758592,HD208776,HIP108473,-,TIC418446470,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
657,HD205702,Gaia DR3 2699514836778244992,HD205702,HIP106707,-,TIC353050719,-,-,F8,,,,,,,,,,,,,,,,,,,0,
658,HD215257,Gaia DR3 2704678521338819840,HD215257,HIP112229,-,TIC421999162,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
659,HD215778,Gaia DR3 2711537648534853248,HD215778,HIP112521,-,TIC422075701,-,-,-,,,,,,,,,,,,,,,,,,,0,
660,HD215243,Gaia DR3 2717610530428304000,HD215243,HIP112222,-,TIC399547952,-,-,-,,,,,,,,,,,,,,,,,,,0,
661,HD211476,Gaia DR3 2733790256348020608,HD211476,HIP110035,GJ9777,TIC404487000,-,-,G2,,,,,,,,,,,,,,,,,,,0,
662,HD225028A,Gaia DR3 2739059700184753280,HD225028A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
663,HD377,Gaia DR3 2745647973856851712,HD377,HIP682,-,TIC405187645,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
664,HD3861,Gaia DR3 2750176827892427904,HD3861,HIP3236,-,TIC401446825,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
665,iotPsc,Gaia DR3 2756363608023588864,HD222368,HIP116771,GJ904,TIC419919445,-,iot Psc,F7V,,,,,,,,,,,,,,,,,,,0,
666,HD223061,Gaia DR3 2759831021020366848,HD223061,HIP117236,-,TIC408374376,-,-,G0,,,,,,,,,,,,,,,,,,,0,
667,HD220773,Gaia DR3 2761142326076104192,HD220773,HIP115697,-,TIC354326161,-,-,G0,,,,,,,,,,,,,,,,,,,0,
668,HD3674,Gaia DR3 2775451336039913344,HD3674,HIP3119,-,TIC401443854,-,-,F8,,,,,,,,,,,,,,,,,,,0,
669,HD8262,Gaia DR3 2786115533677290240,HD8262,HIP6405,-,TIC411629521,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
