star_ID  ;prio;sys            ;R.A.[deg];R.A.[min] ;R.A.[sec]  ;DEC [deg];DEC [amin];DEC [arcs]  ;dist [pc]         ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_e;met  ;mass ;mass_e;lum    ;lum_e;R*   ;R*_e;vsini ;vsini_e;logg;logg_e;age  ;age_e;Protmax;Protmax_e;Prot;Prot_e;i*;i*_e;i_dd  ;i_dd_e;Prot_d;Prot_d_e;dd_t1;dd_l1;dd_r1;dd_l2;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 30min;Notes RL;Notes MH
HD53143;0;Multiple system;6;59;59.655;-61;20;10.253;18.340;6.81;5.459;5.097;4.987;G9 V;5410;70;0.23;0.99;0.02;0.586;0.004;0.871;0.007;3.6;2.0;4.41;0.08;1000;500;12.25;6.81;9.5;-999;64;-999;63.7;3.1;10.98;6.14;73;0.000275;11;0;0.28;0.16;0.73;1.05;308.21;1.68;-999;25 points on 12 nights, no signals in periodograms but high RMS 19.38m/s
HD52698;0;Unknown system ;7;1;13.731;-25;56;55.492;14.749;6.71;5.152;4.845;4.636;K1 V;5150;70;0.14;0.84;0.02;0.449;0.005;0.841;0.007;-999;-999;3.75;0.48;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.13;0.64;0.92;274.52;1.17;-999;
HD52919;0;Unknown system ;7;2;42.917;-6;47;57.214;19.114;8.351;6.446;5.867;5.755;K4 V;4650;90;-0.17;0.74;0.02;0.204;0.002;0.696;0.005;2.85;1.7;3.98;0.5;-999;-999;12.37;7.38;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.45;0.26;0.43;0.62;161.51;1.81;-999;Only 7 obs over 3 years, but very low RMS = 0.67 m/s
HD53705;0;Multiple system;7;3;57.315;-43;36;28.926;17.060;5.28;4.405;3.99;4.037;G0 V;5940;70;-0.15;1.07;0.05;1.52;0.03;1.17;0.02;-999;-999;4.34;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.17;0.10;1.18;1.70;610.14;1.39;HWO target candidate;
HD56533;0;Unknown system ;7;13;7.089;-63;20;41.813;19.587;9.079;6.748;6.15;5.99;K6 V;4265;70;0.0;0.68;0.02;0.1495;0.0007;0.708;0.003;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.62;0.36;0.37;0.53;133.7;2.22;;Very flat periodograms, but only 18 observations
HD61606;2;Multiple system;7;39;59.329;-3;35;1.028;14.078;7.18;5.493;5.063;4.885;K3 V;4960;70;-0.05;0.8;0.02;0.284;0.002;0.723;0.005;7.15;0.397;4.69;0.08;-999;-999;5.12;0.29;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.26;0.15;0.51;0.73;199.35;1.18;BY Dra variable;
HD61606B;0;Multiple system;7;40;2.901;-3;36;13.231;14.086;8.93;6.377;5.7;5.568;K7 V;4210;70;-999;0.65;0.04;0.1025;0.0005;0.603;0.005;-999;-999;4.33;0.14;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.31;0.44;104.03;1.82;-999;
HD64379A;2;Multiple system;7;52;15.663;-34;42;19.584;18.327;5.12;4.166;-999;3.841;F5 V;6340;70;-0.08;1.24;0.05;2.54;0.05;1.32;0.02;-999;-999;3.74;0.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.61;0.93;1.52;2.18;825.32;15.72;mdl(hz) > 10mE;
GJ1106;0;Unknown system ;7;57;48.519;-33;57;7.240;19.418;8.824;6.626;6.045;5.909;K4.5 V;4390;70;-999;0.69;0.02;0.164;0.004;0.7;0.01;-999;-999;3.82;1.0;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.56;0.32;0.39;0.56;143.94;2.04;;
HD65277;0;Multiple system;7;57;57.784;0;48;51.877;17.655;8.077;6.194;5.63;5.511;K4 V;4319;70;-0.26;0.71;0.02;0.199;0.001;0.796;0.005;1.81;1.35;2.03;0.03;-999;-999;22.27;16.61;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.39;0.23;0.42;0.61;160.2;1.55;-999;No data on exoplanet archive. Clear linear trend (esp. using ES, which splits the pre and post upgrade datasets - there is an offset). Removing the trend, strong peaks at ~400d, and also in act ind
HD68146;2;Multiple system;8;10;39.826;-13;47;57.142;22.553;5.54;4.143;4.403;4.348;F6.5 V;6360;70;-0.07;1.25;0.05;2.58;0.02;1.322;0.008;-999;-999;4.12;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;170;3E-06;4;-999;2.06;1.19;1.53;2.20;832.03;20.28;mdl(hz) > 10mE;
HD68834;0;Unknown system ;8;14;35.914;13;1;22.175;19.240;8.797;6.62;6.04;5.891;K5 V;4450;70;-999;0.7;0.02;0.1614;0.0008;0.677;0.007;-999;-999;4.43;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.55;0.32;0.38;0.55;138.42;2.04;;
HD69830;3;Single system  ;8;18;23.947;-12;37;55.817;12.579;5.95;4.953;4.364;4.165;G8 V;5420;70;-0.02;0.9;0.04;0.601;0.002;0.879;0.004;0.72;0.85;-999;-999;6000;2000;61.82;72.99;-999;-999;-999;-999;-999;-999;-999;-999;470;0.00028;0.27;-999;0.19;0.11;0.74;1.06;328.72;1.1;Hot and warm Jupiters;"3 planets (Lovis 2006, Rosenthal 2021): b at 8.6d, 10Me; c at 31d, 11Me; d at 197d, 18Me. Strong activity signals at 200d - how robust is d?"
