star_ID  ;prio;sys            ;rad;ram ;ras ;ded;dem;des  ;dis          ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_sig;met  ;mass ;mass_sig;lum    ;lum_sig;rad   ;rad_sig;vsini ;vsini_sig;logg;logg_sig;age  ;age_sig;Prot;i_star;dd_t1;dd_l1;dd_r1;dd_l2;i_dd  ;i_dd_sig;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 10min;mdl(hz) 30min;Notes RL;Notes MH
HD4676;3;Multiple system;0;48;58.708;16;56;26.324;23.3915392802;4.926;4.433;4.152;4.182;F8 V;6065;70;0.01;1.25;0.1;4.12;0.04;1.84;0.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.61;0.24;1.93;2.78;1180.6;35.04;13.79;Spectroscopic Binary;
HD4747;3;Multiple system;0;49;26.760;-23;12;44.869;18.849217569;7.15;5.813;5.433;5.305;G8 V;5550;70;-0.2;0.91;0.05;0.442;0.004;0.718;0.006;-999;-999;-999;-999;-999;-999;-999;-999;800;0.0005;0.08;-999;-999;-999;0.35;0.20;0.63;0.91;258.7;9.81;5.6;Spectroscopic Binary, Hot Jupiter;
HD4813;2;Unknown system ;0;50;7.589;-10;38;39.584;15.9230090666;5.19;4.41;4.012;4.015;F7 V;6100;70;-0.12;1.16;0.05;1.78;0.01;1.196;0.008;-999;-999;4.06;0.13;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.63;0.36;1.27;1.83;654.4;28.28;16.16;mdl(hz) > 10mE;
HD4967;0;Multiple system;0;51;34.020;22;54;36.240;15.3632958571;8.954;6.545;5.921;5.735;K5 V;4237;70;0.28;0.66;0.02;0.1085;0.0007;0.612;0.004;-999;-999;4.45;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.58;0.33;0.31;0.45;105.31;9.72;5.53;-999;
HD5133;0;Single system  ;0;53;1.135;-30;21;24.891;13.9419651758;7.171;5.537;5.049;4.894;K2.5 V;5010;70;-0.07;0.8;0.02;0.282;0.002;0.703;0.004;1.5;1.5;4.46;0.04;2500;1000;-999;-999;62;1.1e-05;11;-999;38;26;0.27;0.15;0.50;0.73;196.95;6.34;3.52;-999;
HD6101;3;Multiple system;1;2;24.553;5;3;41.609;22.4923301154;8.131;6.199;5.676;5.51;K2 V;4610;70;-999;0.77;0.03;0.31;0.02;0.87;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.41;0.23;0.53;0.76;215.61;9.67;5.43;Close vis. comp.;Only 4 data points, all in one month, high scatter
HD7439;3;Multiple system;1;14;24.041;-7;55;22.173;24.0530899802;5.13;4.396;4.019;4.064;F5 V;6450;70;-0.25;1.33;0.1;4.08;0.04;1.62;0.02;-999;-999;4.02;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2.08;1.20;1.92;0.77;494.01;93.13;53.73;"mdl(hz) > 10mE, close binary (0.2"")";
HD7788;2;Multiple system;1;15;46.089;-68;52;33.336;23.2606824684;4.25;3.759;3.457;3.876;F6 IV;6530;80;-0.2;1.35;0.05;4.0;0.1;1.55;0.03;17.19;0.955;2.48;1.5;2850;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.61;0.93;1.89;2.72;1100;95.08;54.92;RUWE 10.4, PMaG3 10.1, mdl(hz) > 10mE;
HD9540;0;Multiple system;1;33;15.809;-24;10;40.655;19.2653356888;6.97;5.694;5.269;5.157;K0 V;5490;70;-0.02;0.91;0.02;0.552;0.003;0.822;0.005;-999;-999;4.17;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.71;1.02;308.02;9.21;5.35;-999;
HD10361;3;Multiple system;1;39;47.565;-56;11;47.213;8.19648616638;5.797;4.043;3.6;3.51;K2 V;5400;70;-0.22;0.85;0.05;0.316;0.036;0.638;0.008;7.334;0.407;-999;-999;85;65;-999;-999;-999;-999;-999;-999;-999;-999;0.18;0.10;0.53;0.77;207.61;4.48;2.49; PMS star <100Myr;
GJ66B;2;Multiple system;1;39;47.813;-56;11;35.944;8.18941796169;5.685;3.57;-999;3.56;K2 V;5210;70;-0.22;0.88;0.05;-999;-999;-999;-999;-999;-999;4.45;0.04;-999;-999;-999;-999;300;0.0001;-999;-999;-999;-999;0.15;0.09;-999;-999;-999;-999;-999;no lum, no rad;
HD10647;2;Unknown system ;1;42;29.315;-53;44;26.991;17.3487922638;5.52;4.791;4.399;4.34;F9 V;6150;70;-0.01;1.13;0.04;1.552;0.008;1.099;0.008;8.59;0.477;4.39;0.03;1700;600;4.75;46.5;40;0.000245;59;6.3e-05;76.7;1;0.98;0.57;1.19;1.71;599.92;42.0;24.43;mdl(hz) > 10mE;
HD10476;0;Multiple system;1;42;29.763;20;16;6.646;7.53238927388;5.24;3.855;3.391;3.285;K1 V;5250;70;-0.01;0.86;0.02;0.446;0.003;0.807;0.005;-999;-999;4.17;0.08;4930;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.13;0.07;0.64;0.92;271.31;3.56;1.92;-999;
HD10700;2;Single system  ;1;44;4.083;-15;56;14.928;3.65217156295;3.49;2.149;1.8;1.794;G8 V;5430;70;-0.51;0.61;0.02;0.484;0.003;0.787;0.005;0.52;1.5;4.33;0.2;6000;1500;13.4;30.3;100;1.4e-05;5;-999;35;10;0.06;0.04;0.66;0.95;337.76;1.41;0.94;-999;"4 known planets, tau Cet g at 20d, 1.75Me; h at 49d, 1.8Me; e at 162d, 3.9Me; f at 636d, 3.9Me. 11346 obs over 561 nights!! Suitable: unlikely to find more candidates, but could do independent confirmation/validation?"
HD13445;3;Unknown system ;2;10;25.918;-50;49;25.465;10.781671159;6.12;4.785;4.245;4.125;K0 V;5420;70;-0.23;0.87;0.03;0.385;0.003;0.704;0.006;2.0;1.4;-999;-999;-999;-999;-999;-999;700;0.0005;0.1;-999;-999;-999;0.21;0.12;0.59;0.85;239.23;5.6;3.18;Hot Jupiter;One planet, b at 15d, 4.4Mj
HD14412;0;Unknown system ;2;18;58.505;-25;56;44.474;12.8346638602;6.33;5.056;4.694;4.551;G8 V;5560;70;-0.45;0.87;0.03;0.437;0.002;0.765;0.038;3.5;1.87;4.59;0.07;7244;4778;-999;-999;130;4E-06;3;-999;-999;-999;0.24;0.14;0.68;0.97;293.43;6.81;3.97;-999;Pretty flat periodograms (save Ha some peaks at 10-100d, but not significant). But only for the night-medianned! Unbinned lots of peaks everywhere, especially 10-20d for RVs
HD15468;3;Multiple system;2;29;1.727;-19;58;45.052;19.3774415576;8.767;6.591;5.997;5.828;K4.5 V;4390;70;-999;0.69;0.02;0.182;0.001;0.737;0.006;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.55;0.31;0.41;0.58;153.13;10.76;6.07;"Close vis. comp. at 0.3""";
HD15798;3;Multiple system;2;32;5.188;-15;14;41.654;23.0533731696;4.75;3.834;3.525;3.473;F5 V;6370;70;-0.17;1.25;0.1;7.4;0.1;2.23;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.47;0.85;2.58;3.72;1826.4;97.65;56.46;"Close WDS comp. 0.2""";
HD16160;0;Multiple system;2;36;4.901;6;53;12.384;7.22856729796;5.498;4.15;3.66;3.52;K3 V;4820;70;-0.1;0.78;0.02;0.281;0.003;0.759;0.008;2.0;1.4;3.86;0.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.12;0.07;0.50;0.73;199.45;2.78;1.62;-999;Lots of peaks in unbinned RVs, plus long-term 2nd order trend
HD16765;3;Multiple system;2;41;13.997;0;41;43.250;22.2871024538;5.72;4.715;4.642;4.506;F7 IV;6190;70;-1.93;1.19;0.05;2.16;0.09;1.28;0.03;41.301;2.294;-999;-999;30;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.29;0.75;1.40;2.02;748.68;61.6;35.82;probably PMS star <100Myr, vsini~41km/s;
HD17051;2;Unknown system ;2;42;33.467;-50;48;1.055;17.3571635618;5.4;4.75;4.323;4.138;F8 V;6210;70;0.16;1.17;0.05;1.705;0.008;1.133;0.006;-999;-999;4.21;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.22;0.70;1.25;1.80;635.9;54.56;31.3;mdl(hz) > 10mE;
HD17206;2;Unknown system ;2;45;6.199;-18;34;21.442;14.2763530771;4.47;3.486;3.236;3.249;F7 V;6420;70;0.01;1.25;0.04;2.65;0.04;1.32;0.01;20.47;1.137;4.5;0.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.44;0.83;1.55;2.24;852.19;74.19;42.76;Spectroscopic Binary? mdl(hz) > 10mE;
HD17925;3;Single system  ;2;52;32.128;-12;46;10.968;10.3605470369;6.05;4.83;4.23;4.167;K1 V;5140;70;0.15;0.89;0.02;0.4;0.003;0.786;0.006;4.68;2.16;-999;-999;200;100;7.0;46.8;98;4.9e-05;5;-999;67.4;19.8;0.17;0.10;0.59;0.85;236.53;4.56;2.68;PMS star <500Myr, RS CVn Variable;Very high scatter, no peaks in periodograms
HD19305;0;Unknown system ;3;6;26.737;1;57;54.631;14.7202779188;9.07;6.492;5.843;5.646;M0 V;4099;70;-999;0.64;0.02;0.1031;0.0005;0.637;0.003;-999;-999;4.45;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.58;0.33;0.31;0.44;104.84;9.51;5.41;-999;
HD20010B;3;Multiple system;3;12;4.199;-28;59;13.011;14.0827417408;7.19;2.572;2.317;2.238;G7 V;5550;200;-0.22;-999;-999;0.9;0.9;0.1;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.36;0.21;-999;-999;-999;-999;-999;very odd SED and Teff;
HD20010;2;Multiple system;3;12;4.530;-28;59;15.439;14.2369020501;3.8;2.572;2.317;2.238;F6 V;6170;70;-0.22;1.3;0.15;4.76;0.08;1.91;0.03;-999;-999;3.5;0.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.53;0.31;2.08;2.99;1292.9;32.21;18.84;mdl(hz) > 10mE;
HD20280;3;Unknown system ;3;14;44.624;-26;26;46.496;18.6726369311;9.141;6.86;6.267;6.067;K5.5 V;4317;70;-999;0.68;0.03;0.1232;0.0007;0.627;0.004;-999;-999;-999;-999;45;5;-999;-999;-999;-999;-999;-999;-999;-999;0.64;0.37;0.33;0.48;114.16;11.24;6.5;PMS star <100Myr;13 points over 14 years, RMS 6.17m/s
HD20766;2;Unknown system ;3;17;46.163;-62;34;31.152;12.0447099634;5.53;4.462;4.041;3.994;G2.5 V;5790;70;-0.22;0.99;0.03;0.787;0.004;0.881;0.006;2.64;1.38;3.96;0.17;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.19;0.11;0.84;1.22;383.72;6.42;3.72;-999;Forest of peaks in 10-100d range in all periodograms, high RV scatter. 68 obs on 26 nights, binned periodograms are cleaner but all show peaks at ~450d. Honestly, purely by eye looks like a sinusoid? -> fitting for 1562d, 0.45Mj, 6d, 26Me, rms still 5.89m/s
HD20807;3;Multiple system;3;18;12.818;-62;30;22.904;12.0394025567;5.24;4.27;3.874;3.86;G1 V;5910;70;-0.23;1.04;0.03;1.016;0.006;0.962;0.007;2.06;1.44;-999;-999;6230;2600;-999;-999;0;0;0;-999;82.5;4.2;0.17;0.10;0.96;1.38;453.25;6.28;3.69;close interferometric binary;Forest of peaks in 10-1000d range in all periodograms. 316 obs on 99 nights, night-medianned periodograms look cleaner...
HD20630;3;Multiple system;3;19;21.696;3;22;12.715;9.2762399318;4.84;3.407;3.039;2.957;G5 V;5730;70;0.09;0.99;0.02;0.844;0.007;0.932;0.007;-999;-999;-999;-999;30;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.13;0.08;0.87;1.26;403.45;4.47;2.75;PMS star <100Myr;
HD20794;2;Unknown system ;3;19;55.651;-43;4;11.215;6.04141267561;4.27;2.99;2.6;2.53;G6 V;5590;70;-0.39;0.94;0.02;0.647;0.004;0.857;0.009;-999;-999;3.73;0.14;11200;1800;-999;-999;230;3E-05;1.2;-999;-999;-999;0.10;0.05;0.76;1.1;337.86;3.13;1.57;-999;"4 planets (Pepe et al 2011, Feng et al 2017): b at 18d, 2.7 Me; c at 40d, 2.4Me; d at 90d, 4.8Me; e at 147d, 4.8Me (only in Pepe). Also strong signal at 10d in act ind, forest of peaks in CRX"
HD21209A;1;Unknown system ;3;23;17.177;-49;59;30.913;19.2992444346;8.59;6.585;6.054;5.914;K3.5 V;4590;70;-0.37;0.73;0.02;0.183;0.003;0.677;0.006;2.33;1.53;3.32;0.48;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.50;0.29;0.41;0.59;151.14;10.11;5.87;;No data on exoplanet archive. RVs show no peaks, reasonable RMS. Some peaks in Halpha, NaD1
HD21175;3;Multiple system;3;23;35.255;40;4;34.965;17.6812772955;6.903;5.333;4.948;4.767;K0 V;5160;70;-999;0.87;0.03;0.548;0.005;0.925;0.008;1.8;1.34;-999;-999;-999;-999;-999;-999;800;1;0.09;-999;-999;-999;0.26;0.15;0.70;1.01;309.58;7.51;4.33;too far north;No data on exoplanet archive. Multiple RV peaks at ~100-200d, also Halpha
HD21197;0;Unknown system ;3;24;59.731;-5;21;49.518;15.3231577351;7.86;5.827;5.306;5.124;K4 V;4572;70;0.45;0.71;0.02;0.22;0.002;0.748;0.004;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.45;0.64;174.4;7.29;4.16;-999;
HD21749;2;Multiple system;3;26;59.223;-63;29;56.763;16.3326370186;8.143;6.081;5.52;5.375;K4.5 V;4620;70;-0.02;0.74;0.02;0.208;0.002;0.712;0.006;2.35;1.53;3.75;0.28;-999;-999;-999;-999;60;9E-06;12;-999;-999;-999;0.41;0.24;0.43;0.63;163.82;8.6;5.03;-999;"2 transiting planets, c at 7.8d, 0.8Re; d at 35d, 30/22Me (Trifonov/Dragomir). Strong RV signal at ~35d, peaks in act ind at 300-400d"
HD22049;0;Single system  ;3;32;55.844;-9;27;29.739;3.21981033385;3.72;2.228;1.88;1.776;K2 V;5090;70;-0.05;0.82;0.05;0.337;0.002;0.747;0.003;1.51;1.23;4.47;0.03;800;400;11.3;26.7;51;5E-05;17;8E-05;33;2;0.06;0.03;0.55;0.80;223.68;1.49;0.75;-999;One known planet, eps Eri b at 2671 d, 0.66Mj. 541 obs over 26 nights. unbinned is chaos, binned shows no signal, but RMS is high at 5.22m/s (unbinned, 7.9m/s binned)
HD22496;0;Unknown system ;3;35;0.940;-48;25;8.909;13.6017595236;8.57;6.122;5.493;5.338;K7 V;4210;70;0.38;0.66;0.02;0.124;0.0006;0.662;0.003;-999;-999;4.46;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.48;0.28;0.34;0.48;118.03;8.36;4.88;-999;One known planet, HD 22496 b at 5d, 5.6Me (Lillo-Box 21, signal not strong in HARPS, found with ESPRESSO)
HD23249;0;Unknown system ;3;43;14.901;-9;45;48.211;9.08881040196;3.54;2.06;1.729;1.619;K0 IV;5039;70;0.15;1.04;0.24;3.23;0.02;2.36;0.01;-999;-999;3.61;0.07;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.05;0.03;1.71;2.47;1082.1;2.47;1.48;HWO target candidate;
HD23356;0;Single system  ;3;43;55.343;-19;6;39.233;13.9371851067;7.1;5.457;5.025;4.837;K2 V;4970;70;-0.11;0.79;0.02;0.299;0.002;0.736;0.005;0.48;0.7;4.15;0.3;1500;1000;-999;-999;61;1.6e-05;11.2;-999;-999;-999;0.25;0.15;0.52;0.75;207.93;5.93;3.56;-999;33 obs on 14 nights over 6 years. No signal in night-medianned, forest of peaks at 50-100d in unbinned. low RMS 3.5 m/s
HD23484;0;Single system  ;3;44;9.173;-38;16;54.372;16.1696127701;6.996;5.462;5.088;4.934;K2 V;5201;70;0.1;0.89;0.03;0.41;0.002;0.788;0.004;1.5;1.5;4.74;0.38;3500;2500;9.2;20.3;53;9.4e-05;18;-999;60.6;12.8;0.28;0.16;0.61;0.88;248.95;7.63;4.36;-999;
HD23754;2;Unknown system ;3;46;50.887;-23;14;59.002;17.7847019551;4.2;3.61;3.393;3.353;F5 V;6600;20;0.08;1.4;0.07;5.12;0.04;1.73;0.01;-999;-999;3.93;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.76;1.02;2.15;3.1;1312.8;112.95;65.46;mdl(hz) > 10mE;
BD-07699;0;Unknown system ;3;54;35.466;6;49;33.654;15.6706407412;9.015;6.453;5.806;5.629;K5 V;4134;70;-999;0.65;0.02;0.1178;0.0005;0.669;0.003;-999;-999;4.45;0.04;-999;-999;-999;-999;27;3.4e-05;40;-999;-999;-999;0.57;0.33;0.33;0.47;114.61;9.73;5.63;-999;
HD25004;0;Unknown system ;3;56;36.380;-41;20;36.850;17.5638269471;8.847;6.599;5.975;5.837;K6 V;4374;70;-999;0.69;0.02;0.1373;0.0008;0.645;0.004;-999;-999;4.4;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.35;0.51;123.98;10.39;6.02;;8 obs over 14 years. No trends, RMS 4.3m/s
HD24916;2;Single system  ;3;57;28.699;-1;9;34.070;15.2843967707;8.07;6.063;5.486;5.341;K4 V;4560;70;-999;0.73;0.02;0.184;0.002;0.689;0.006;1.4;1.18;3.77;0.33;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.38;0.22;0.41;0.59;151.14;7.69;4.45;Eruptive Variable! Check activity;No data on exoplanet archive. No signal, but very high RMS 73.34 m/s
HD25457;3;Single system  ;4;2;36.744;0;16;8.120;18.707008955;5.38;4.712;4.342;4.181;F7 V;6310;70;0.03;1.23;0.01;2.04;0.01;1.2;0.01;18.5;1.1;-999;-999;149;45;-999;-999;58;9.4e-05;33;4.4e-05;-999;-999;1.68;0.97;1.36;1.97;707.53;80.49;46.47;PMS star 150Myr;
HD26965;2;Unknown system ;4;15;16.320;-7;39;0.330;5.00981924572;4.43;3.013;2.594;2.498;K1 V;5240;70;-0.27;0.87;0.03;-999;-999;-999;-999;0.37;0.61;3.91;0.12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.09;0.05;-999;-999;-999;-999;-999;Eruptive Variable! Check activity;"Triple star system (40Eri) and one known planet, b at 42d, 8Me (Ma et al 2018, Dharma Planet Survey). 616 obs on 101 nights. Very strong signal at ~40d in RV! Matches the planet. Also activity signals all over the place in unbinned, vanish in binned (the 40d doesn't, though). RMS is low, 1.81 m/s. Activity may be a problem. From Ma et al: ""HD 26965 is the primary of a very widely separated triple system. The  other two companions are an M4 dwarf and a white dwarf. The on-sky separation between the primary and the other two stars is about 82 arcsec. The estimated orbital period of this system is ∼8000 yr (Heintz 1974). This star has a star-spot activity cycle period of 10.1 yr (Baliunas et al. 1995)."""
HD27274;0;Unknown system ;4;15;56.902;-53;18;35.307;13.0439659918;7.64;5.624;5.098;4.923;K4.5 V;4593;70;0.16;0.73;0.02;0.195;0.002;0.698;0.004;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.32;0.19;0.42;0.61;157.99;6.57;3.9;-999;
HD28343;2;Unknown system ;4;29;0.124;21;55;21.717;11.2290662133;8.3;5.674;5.05;4.875;M0.5 V;3903;70;0.0;0.62;0.03;0.1112;0.0009;0.729;0.005;-999;-999;2.89;0.06;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.32;0.46;112.97;5.76;3.29;Eruptive Variable! Check activity;
HD30495;3;Single system  ;4;47;36.292;-16;56;4.040;13.2399650995;5.49;4.466;4.116;3.999;G2.5 V;5897;110;0.03;1.06;0.01;0.964;0.005;0.955;0.006;3.21;1.79;-999;-999;45;5;10.5;73.0;59;3.2e-05;21;0;38.8;14.6;0.19;0.11;0.95;1.37;443.21;7.05;4.08;PMS star <100Myr;Forest of peaks in 10-100d range in all periodograms (G pdf), less when night-binned but still some (GK pdf)
HD30652;3;Multiple system;4;49;50.411;6;57;40.601;8.02440703644;3.19;1.984;1.757;1.6;F6 V;6420;70;0.02;1.28;0.05;2.81;0.02;1.354;0.006;-999;-999;-999;-999;45;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.80;0.46;3.31;4.77;2614.7;60.9;35.02;PMS star <100Myr;
HD30876;0;Unknown system ;4;49;52.332;-35;6;27.469;17.68740692;7.495;5.896;5.443;5.334;K2 V;4980;70;-0.06;0.81;0.02;0.322;0.002;0.762;0.006;1.7;1.3;4.46;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.54;0.78;217.6;7.59;4.41;-999;Two observing seasons, 2016 and 2017, scatter looks much higher (20m/s peak to peak) in the second
HD31560;0;Unknown system ;4;55;41.911;-28;33;50.083;18.2083361405;8.122;6.19;5.686;5.545;K3.5 V;4690;70;0.06;0.75;0.02;0.229;0.002;0.725;0.006;1.21;1.1;3.94;0.11;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.41;0.23;0.46;0.66;176.74;8.9;4.99;-999;
HD32147;0;Unknown system ;5;0;48.999;-5;45;13.224;8.84396156414;6.22;4.389;3.797;3.706;K3 V;4600;180;0.28;0.77;0.03;0.295;0.002;0.793;0.005;7.38;0.41;4.46;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.17;0.10;0.48;0.69;186.24;3.82;2.25;-999;Unbinned shows lots of peaks in the 20-100 day range, nightly-binned no peaks in RV. Strong peaks in all act ind at 300-400d, and also at 20-100d in unbinned
HD33262;2;Multiple system;5;5;30.656;-57;28;21.737;11.6927199956;4.71;3.701;3.407;3.371;F9 V;6260;70;-0.08;1.14;0.06;1.463;0.01;1.029;0.009;-999;-999;4.34;0.1;2951;1800;-999;-999;150;2.1e-05;4;-999;-999;-999;1.06;0.61;1.15;1.66;569.69;44.91;25.84;mdl(hz) > 10mE;
HD34673;0;Multiple system;5;19;12.661;-3;4;25.739;15.712523667;7.86;5.733;5.225;5.046;K3 V;4550;70;-0.36;0.75;0.02;0.253;0.009;0.81;0.02;-999;-999;2.59;0.53;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.36;0.21;0.48;0.69;188.7;7.98;4.66;-999;
HD35171;0;Multiple system;5;23;38.379;17;19;26.821;14.5420279149;7.93;5.876;5.375;5.227;K4 V;4471;70;-0.01;0.72;0.02;0.183;0.001;0.713;0.004;-999;-999;4.47;0.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.41;0.59;152.18;7.43;4.22;-999;
