source_id,ID DR2,ID DR3,RA,DEC,V mag,Phot G mean mag,Phot BP mean mag,Phot RP mean mag,BP-RP,Parallax,Teff Gaia [K],Teff sdb [K],DEB Lum,Mass {M_sun],Mass (RL),vsin(i) [km/s],age [Myr],astrid db,L* Gaia [L_Sun],L* sdb [Lsun],Radius [R_Sun],R* sdb [Rsun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_Ïƒ_RV_total [m/s],HZ DetLim [M_E],Semi-Amplitude_Ïƒ_photon [m/s],HZ DetLim (Ïƒ_photon) [M_E],Ïƒ_photon [m/s],Ïƒ_granulation [m/s],Ïƒ_p-mode [m/s],"Ïƒ_RV,total [m/s]",Density [Solar],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia SpT,HD,astrid db.1,Entry in exoplanet.eu,in 210 list,LitRes Felix,GJ,HIP,Object Type,Stellar Parameter Source,SIMBAD SpT,Readable SpT (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 5412947081295024896,5412947081287925504,5412947081295024896,147.782210929189,-43.50488163509864,7.625186750273705,7.196407794952393,7.863672256469727,6.405837535858154,1.457834720611572,88.67366322546205,4300.0,4444,N,0.7,0.7,2.2,no MG,Y,0.176,0.164,0.783,0.684,0.62550152656897,216.2925521979516,0.1234850755061545,0.9123866297671578,0.0604714382974702,0.4468016200277716,0.3184378781210658,0.5573820113733376,0.2764581187254659,0.6502627774514904,1.455359828131016,,-4.96613704302,1.40027233496857,HD_number_match,K,HD 85512,Y,no entry,Y,,GJ 370,48331.0,PM*,,K6Vk:,K6V,11.27730561279955,0.0,0.0,0.0,0.0,0.0
Gaia DR3 5856411869205581568,5856411869205581568,5856411869205581568,188.3740627007537,-68.75719762527582,7.109029698600769,6.904045104980469,7.337036609649658,6.300198078155518,1.036838531494141,61.77374693161543,5004.9,5216,N,0.81,0.83,0.26,no MG,Y,0.364,0.361,0.791,0.736,0.8591131158321403,322.6615341330532,0.1324039051158868,1.237096439053496,0.0491288721815667,0.4590284008416158,0.2586402959252478,0.638283616164395,0.3961754422130556,0.6970439922632743,1.642855324617889,4.5062,-5.20544636265,0.5609950613309779,HD_number_match,G,HD 109200,Y,no entry,Y,,GJ 472,61291.0,PM*,GAIA,K1V,K1V,16.18810659335618,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3712538708114516736,3712538708114516736,3712538708114516736,200.91319573299,2.724212587821727,6.850490093231201,6.850490093231201,7.254119396209717,6.270464420318604,0.9836549758911132,60.281691403362,5149.1,5400,Y 5e-3,0.86,0.87,0.5,no MG,Y,0.395,0.388,0.79,0.712,0.8863726188213498,328.2784970767299,0.1283236107535158,1.254428915552064,0.0475512086473404,0.4648373806379892,0.2503306238605257,0.618097436979254,0.4075635332471324,0.6755523245308624,1.749140708741954,4.5127,-4.97226952849,1.367831442554249,HD_number_match,K,HD 116442,Y,no entry,"Y, WDS comp. at 26"". No potential issues.",,GJ 3781,65352.0,PM*,GAIA,G9V,G9V,16.58878469929974,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3712538811193759744,3712538811193759744,3712538811193759744,200.9202134382213,2.726169094369706,7.324823497924805,7.112965106964111,7.553261756896973,6.499093055725098,1.054168701171875,60.31608759578896,5133.0,5189,N,0.83,0.82,0.5,no MG,Y,0.319,0.328,0.759,0.708,0.7974200586848922,286.2697905971967,0.1265845103618002,1.148493695963998,0.0586093377791296,0.5317590183156257,0.3085809220070796,0.5809964009168218,0.3752061268938852,0.6664734050820234,1.888976964516581,4.6222,-4.90793085246,1.749181135421032,HD_number_match,K,HD 116443,Y,no entry,"Y, WDS comp. at >25"". No potential issues.",,GJ 3782,65355.0,PM*,GAIA,K2V,K2V,16.5793246853401,0.0,0.0,0.0,0.0,0.0
Gaia DR3 6093381604489726848,6093381604489726848,6093381604489726848,208.1452281889314,-50.92187832107624,7.362940829076767,7.140708446502686,7.59218692779541,6.505561828613281,1.086625099182129,60.82769614442495,4876.4,5190,Y 1.5e-2,0.82,0.8,0.5,3060,Y,0.299,0.304,0.706,0.682,0.7858442384790627,280.6917178914015,0.1246684722913476,1.120338457445858,0.054886551199718,0.4932402954446324,0.2889844209635317,0.5797305508809044,0.3542052861704475,0.6563947905276333,2.330008041070856,4.5086,-4.93287536067,1.590109020499202,HIP_number_match,K,HD 120780,Y,no entry,"Y, WDS comp. at 5.7"" (93au), PMa~22. No potential issues.",,GJ 531.0,67742.0,SB*,GAIA,K0V,K0V,16.43987958422215,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3642413746280598784,3642413746280598784,3642413746280598784,214.8924391019021,-5.151728184565362,7.558106646809578,7.352909564971924,7.786069869995117,6.750986576080322,1.035083293914795,48.90154186736446,5164.2,5220,N,0.83,0.83,0.5,no MG,Y,0.379,0.382,0.791,0.756,0.8667820475065906,322.5425139857016,0.1373671713289367,1.306968325085583,0.0664337357211084,0.6320781556801633,0.3497423430798363,0.623708657709896,0.4059183510128602,0.7231734877068877,1.684629076299404,,-5.2401202001,0.4913607566061732,HD_number_match,G,HD 125455,Y,no entry,"Y, WDS comp. at 15"", no logg. Otherwise no issues.",,GJ 544,70016.0,PM*,GAIA,K1V,K1V,20.44925296450361,0.0,0.0,0.0,0.0,0.0
Gaia DR3 5835498883232034816,5835498883232034816,5835498883232034816,242.4272238506283,-56.44366680941792,7.078011894307137,6.866890907287598,7.306442260742188,6.252590656280518,1.05385160446167,67.44689289916005,4986.1,5181,N,0.82,0.8,0.3,no MG,Y,0.321,0.317,0.762,0.699,0.8075752876774311,293.1483184823059,0.1248223966818534,1.134280352340508,0.0482677136443971,0.4386161513849302,0.2541272176897445,0.5965987652133821,0.371491590776284,0.6571839844708922,1.848206256583958,4.5483,-4.98046635445,1.325640767852202,HD_number_match,K,HD 144628,Y,no entry,"Y, No potential issues.",,GJ 613.0,79190.0,PM*,GAIA,K2V,K2V,14.82647987202467,0.0,0.0,0.0,0.0,0.0
Gaia DR3 5914096303621755520,5914096303621755520,5914096303621755520,257.5437749987619,-60.7261529768452,7.356441058626175,7.116920948028564,7.58627986907959,6.475841522216797,1.110438346862793,72.85383430610172,4866.0,5040,Y 1.6e-5,0.7,0.78,0.7,4800,Y,0.227,0.223,0.686,0.62,0.6854016508653373,247.691989787081,0.1269006546106724,0.9830858628641008,0.0547002503127178,0.4237570164042167,0.2880268149585364,0.5936475863828556,0.3341245036025839,0.6682015375561671,2.167672195328044,4.618,-5.12409896453,0.7655890599707027,HD_number_match,K,HD 154577,Y,no entry,"Y, No potential issues.",,GJ 656,83990.0,PM*,GAIA,K2.5Vk:,K2.5V,13.72611351927495,0.0,0.0,0.0,0.0,0.0
Gaia DR3 6847167606385195648,6847167606385195648,6847167606385195648,303.8286649315622,-27.03378080946467,5.706821329026222,5.481349945068359,5.935905933380127,4.855769157409668,1.080136775970459,113.4871798847664,4978.2,5161,N,0.85,0.84,0.5,no MG,Y,0.389,0.394,0.792,0.785,0.8901676638946601,332.8525260660337,0.1246782887220711,1.21236073370478,0.0256687186541592,0.2496003666700078,0.1351297147868938,0.6332000606455935,0.3996198518129659,0.6563530428661093,1.712118408202441,4.4981,-5.30569523093,0.3824246841384515,HD_number_match,K,HD 192310,Y,"Two RV planets at 0.32au (75d, 16Me) and 1.18au (526d, 24Me), both well outside HZ",Y,Y,GJ 785,99825.0,PM*,GAIA,K2+V,K2V,8.811567976359871,1.0,0.0,1.0,0.0,2.0
Gaia DR3 6854626246593473792,6854626246593473792,6854626246593473792,310.0514064479976,-23.77181575077584,6.179915428161621,6.179915428161621,6.542906284332275,5.640710353851318,0.902195930480957,68.15574658958347,5457.6,5560,N,0.93,0.92,0.5,no MG,Y,0.553,0.553,0.846,0.8,1.025842939632586,394.2744710573497,0.1337212558277399,1.45784984319251,0.0409830049792418,0.4468030681637623,0.215708109384195,0.6607234109605084,0.4775601948130163,0.7038224574721178,1.528241921070437,,-4.92172697787,1.659331725494531,HD_number_match,G,HD 196761,Y,no entry,"Y, sub-giant, but lum and R* are ok",,GJ 796,101997.0,PM*,GAIA,G7.5IV-V,G7.5IV-V,14.67227710117747,0.0,0.0,0.0,0.0,0.0
